X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1758334.6041,5912135.8918,416334,8477-349487cb,8477,ONEHUNGA BAY RESERVE,,STOP,-36.92352,174.77766,,BUS
1758891.9255,5912966.7538,416335,8479-711c8551,8479,TIN TACKS CORNER,,STOP,-36.91594,174.78374,,BUS
1758866.9474,5916971.5679,416336,8480-db304e65,8480,DILWORTH SCHOOL,,STOP,-36.87986,174.78262,,BUS
1754241.4057,5918886.7918,416337,8481-cdeaf2cc,8481,SURREY CRESCENT/OLD MILL ROAD,,STOP,-36.86337,174.73035,,BUS
1754237.1695,5918899.0765,416338,8482-b766e95f,8482,SURREY CRESCENT/OLD MILL ROAD,,STOP,-36.86326,174.7303,,BUS
1753730.6879,5919147.9592,416339,8483-f30d8856,8483,GARNET ROAD/OLD MILL ROAD,,STOP,-36.8611,174.72457,,BUS
1753925.7297,5918985.7311,416340,8484-58711f06,8484,FRANCIS STREET,,STOP,-36.86253,174.72679,,BUS
1753633.9744,5919372.7772,416341,8485-c433a927,8485,WESTMERE SCHOOL,,STOP,-36.85909,174.72344,,BUS
1753741.506,5919154.4227,416342,8486-e6856550,8486,GARNET ROAD/OLD MILL ROAD,,STOP,-36.86104,174.72469,,BUS
1753450.3848,5919626.9055,416343,8487-00f3da3d,8487,DORSET STREET,,STOP,-36.85683,174.72133,,BUS
1753652.5159,5919362.4543,416344,8488-4a1e723e,8488,WESTMERE SCHOOL,,STOP,-36.85918,174.72365,,BUS
1753470.8102,5919622.098,416345,8490-97f86170,8490,DORSET STREET,,STOP,-36.85687,174.72156,,BUS
1753218.7392,5919887.4431,416346,8491-4c2b3c12,8491,WESTMERE SHOPS,,STOP,-36.85452,174.71868,,BUS
1753218.207,5919907.4292,416347,8492-cc3f118d,8492,WESTMERE SHOPS,,STOP,-36.85434,174.71867,,BUS
